time	 clk	 reset	 enable	 load 	 dataIn 	 out	
VCD info: dumpfile counter_8bit_vcd.vcd opened for output.
3770	 0	 0	 0	 0	 11010101	 10111011	
3780	 1	 0	 0	 0	 11010101	 10111011	
3790	 0	 0	 0	 0	 11010101	 10111100	
3800	 1	 0	 0	 0	 11010101	 10111100	
3810	 0	 0	 0	 0	 11010101	 10111101	
3820	 1	 0	 0	 0	 11010101	 10111101	
3830	 0	 0	 0	 0	 11010101	 10111110	
3840	 1	 0	 0	 0	 11010101	 10111110	
3850	 0	 0	 0	 0	 11010101	 10111111	
3860	 1	 0	 0	 0	 11010101	 10111111	
3870	 0	 0	 0	 0	 11010101	 11000000	
3880	 1	 0	 0	 0	 11010101	 11000000	
3890	 0	 0	 0	 0	 11010101	 11000001	
3900	 1	 0	 0	 0	 11010101	 11000001	
3910	 0	 0	 0	 0	 11010101	 11000010	
3920	 1	 0	 0	 0	 11010101	 11000010	
3930	 0	 0	 0	 0	 11010101	 11000011	
3940	 1	 0	 0	 0	 11010101	 11000011	
3950	 0	 0	 0	 0	 11010101	 11000100	
3960	 1	 0	 0	 0	 11010101	 11000100	
3970	 0	 0	 0	 0	 11010101	 11000101	
3980	 1	 0	 0	 0	 11010101	 11000101	
3990	 0	 0	 0	 0	 11010101	 11000110	
4000	 1	 0	 0	 0	 11010101	 11000110	
4010	 0	 0	 0	 0	 11010101	 11000111	
4020	 1	 0	 0	 0	 11010101	 11000111	
4030	 0	 0	 0	 0	 11010101	 11001000	
4040	 1	 0	 0	 0	 11010101	 11001000	
4050	 0	 0	 0	 0	 11010101	 11001001	
4060	 1	 0	 0	 0	 11010101	 11001001	
4070	 0	 0	 0	 0	 11010101	 11001010	
4080	 1	 0	 0	 0	 11010101	 11001010	
4090	 0	 0	 0	 0	 11010101	 11001011	
4100	 1	 0	 0	 0	 11010101	 11001011	
4110	 0	 0	 0	 0	 11010101	 11001100	
4120	 1	 0	 0	 0	 11010101	 11001100	
4130	 0	 0	 0	 0	 11010101	 11001101	
4140	 1	 0	 0	 0	 11010101	 11001101	
4150	 0	 0	 0	 0	 11010101	 11001110	
4160	 1	 0	 0	 0	 11010101	 11001110	
4170	 0	 0	 0	 0	 11010101	 11001111	
4180	 1	 0	 0	 0	 11010101	 11001111	
4190	 0	 0	 0	 0	 11010101	 11010000	
4200	 1	 0	 0	 0	 11010101	 11010000	
4210	 0	 0	 0	 0	 11010101	 11010001	
